index,timestamp,scanned_code,expected_code,status
20,'16:10:24.656,'8991027561800272581,'8991027561800272581,OK
19,'16:10:25.164,'8991027561800272580,'8991027561800272580,OK
48,'16:10:25.663,'8991027561800272579,'8991027561800272579,OK
47,'16:10:26.164,'8991027561800272578,'8991027561800272578,OK
46,'16:10:26.656,'8991027561800272577,'8991027561800272577,OK
45,'16:10:27.163,'8991027561800272576,'8991027561800272576,OK
44,'16:10:27.664,'8991027561800272575,'8991027561800272575,OK
43,'16:10:28.156,'8991027561800272574,'8991027561800272574,OK
42,'16:10:28.663,'8991027561800272573,'8991027561800272573,OK
41,'16:10:29.163,'8991027561800272572,'8991027561800272572,OK
40,'16:10:29.666,'8991027561800272571,'8991027561800272571,OK
39,'16:10:30.166,'8991027561800272570,'8991027561800272570,OK
17,'16:10:34.319,'MISSING,'8991027561800272568,SKIPPED
16,'16:10:34.319,'MISSING,'8991027561800272567,SKIPPED
15,'16:10:34.319,'MISSING,'8991027561800272566,SKIPPED
14,'16:10:34.319,'8991027561800272565,'8991027561800272565,OK (JUMPED)
17,'16:10:34.319,'MISSING,'8991027561800272568,SKIPPED
16,'16:10:34.319,'MISSING,'8991027561800272567,SKIPPED
15,'16:10:34.319,'MISSING,'8991027561800272566,SKIPPED
14,'16:10:34.319,'8991027561800272565,'8991027561800272565,OK (JUMPED)
13,'16:10:39.862,'8991027561800272564,'8991027561800272564,OK
12,'16:10:40.457,'8991027561800272563,'8991027561800272563,OK
11,'16:10:40.965,'8991027561800272562,'8991027561800272562,OK
10,'16:10:41.463,'8991027561800272561,'8991027561800272561,OK
9,'16:10:41.956,'8991027561800272560,'8991027561800272560,OK
7,'16:10:44.877,'MISSING,'8991027561800272558,SKIPPED
6,'16:10:44.877,'MISSING,'8991027561800272557,SKIPPED
5,'16:10:44.877,'MISSING,'8991027561800272556,SKIPPED
4,'16:10:44.877,'8991027561800272555,'8991027561800272555,OK (JUMPED)
7,'16:10:44.877,'MISSING,'8991027561800272558,SKIPPED
6,'16:10:44.877,'MISSING,'8991027561800272557,SKIPPED
5,'16:10:44.877,'MISSING,'8991027561800272556,SKIPPED
4,'16:10:44.877,'8991027561800272555,'8991027561800272555,OK (JUMPED)
3,'16:10:48.363,'8991027561800272554,'8991027561800272554,OK
2,'16:10:48.856,'8991027561800272553,'8991027561800272553,OK
1,'16:10:49.364,'8991027561800272552,'8991027561800272552,OK
38,'16:10:49.856,'8991027561800272551,'8991027561800272551,OK
37,'16:10:50.356,'8991027561800272550,'8991027561800272550,OK
35,'16:10:52.611,'MISSING,'8991027561800272548,SKIPPED
34,'16:10:52.611,'MISSING,'8991027561800272547,SKIPPED
33,'16:10:52.611,'MISSING,'8991027561800272546,SKIPPED
32,'16:10:52.611,'8991027561800272545,'8991027561800272545,OK (JUMPED)
35,'16:10:52.611,'MISSING,'8991027561800272548,SKIPPED
34,'16:10:52.611,'MISSING,'8991027561800272547,SKIPPED
33,'16:10:52.611,'MISSING,'8991027561800272546,SKIPPED
32,'16:10:52.611,'8991027561800272545,'8991027561800272545,OK (JUMPED)
31,'16:10:54.556,'8991027561800272544,'8991027561800272544,OK
30,'16:10:55.155,'8991027561800272580,'8991027561800272543,NOT OK
30,'16:10:59.854,'8991027561800272543,'8991027561800272543,OK
29,'16:11:00.455,'8991027561800272542,'8991027561800272542,OK
58,'16:11:00.964,'8991027561800272541,'8991027561800272541,OK
57,'16:11:01.460,'8991027561800272540,'8991027561800272540,OK
55,'16:11:03.728,'MISSING,'8991027561800272538,SKIPPED
54,'16:11:03.729,'MISSING,'8991027561800272537,SKIPPED
53,'16:11:03.729,'MISSING,'8991027561800272536,SKIPPED
52,'16:11:03.729,'8991027561800272535,'8991027561800272535,OK (JUMPED)
55,'16:11:03.728,'MISSING,'8991027561800272538,SKIPPED
54,'16:11:03.729,'MISSING,'8991027561800272537,SKIPPED
53,'16:11:03.729,'MISSING,'8991027561800272536,SKIPPED
52,'16:11:03.729,'8991027561800272535,'8991027561800272535,OK (JUMPED)
51,'16:11:06.155,'8991027561800272534,'8991027561800272534,OK
50,'16:11:06.665,'8991027561800272533,'8991027561800272533,OK
49,'16:12:02.599,'8991027561800272532,'8991027561800272532,OK
